[2025-07-25 23:08:58] FDS: Action = Hold, State = (2, 2, 2, 2, 2, 2, 0), Price = 462.80, Reward = 0.0000, Equity = 100000000.00
[2025-07-25 23:17:47] BMY: Action = Buy, State = (0, 2, 2, 2, 1, 2, 0), Price = 46.90, Reward = 0.0000, Equity = 99995725.82
[2025-07-25 23:17:55] XOM: Action = Buy, State = (0, 2, 4, 2, 1, 2, 0), Price = 103.05, Reward = 0.0000, Equity = 99995622.77
[2025-07-25 23:18:04] COP: Action = Buy, State = (0, 1, 4, 2, 1, 2, 0), Price = 85.28, Reward = 0.0000, Equity = 99995537.49
[2025-07-25 23:18:13] T: Action = Buy, State = (1, 3, 4, 2, 1, 2, 0), Price = 27.38, Reward = 0.0000, Equity = 99995510.11
[2025-07-25 23:18:22] TMUS: Action = Buy, State = (1, 3, 4, 2, 4, 2, 0), Price = 242.88, Reward = 0.0000, Equity = 99995267.23
[2025-07-25 23:18:30] WMT: Action = Buy, State = (1, 2, 4, 2, 1, 2, 0), Price = 96.30, Reward = 0.0000, Equity = 99995170.93
[2025-07-25 23:18:37] SBUX: Action = Buy, State = (3, 2, 4, 2, 1, 2, 0), Price = 84.21, Reward = 0.0000, Equity = 99995086.72
[2025-07-25 23:18:45] KO: Action = Buy, State = (3, 2, 4, 2, 1, 2, 0), Price = 71.58, Reward = 0.0000, Equity = 99995015.14
[2025-07-25 23:18:53] MO: Action = Hold, State = (2, 2, 4, 2, 1, 2, 0), Price = 59.63, Reward = 0.0000, Equity = 99995015.14
[2025-07-25 23:20:43] LLY: Action = Hold, State = (0, 1, 4, 2, 1, 2, 1), Price = 714.00, Reward = 0.0000, Equity = 99995015.14
[2025-07-25 23:20:52] XOM: Action = Hold, State = (0, 2, 4, 2, 1, 2, 1), Price = 103.05, Reward = 0.0000, Equity = 99995015.14
[2025-07-25 23:21:01] KO: Action = Hold, State = (3, 2, 4, 2, 1, 2, 1), Price = 71.58, Reward = 0.0000, Equity = 99995015.14
[2025-07-25 23:21:11] UHS: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 186.21, Reward = 0.0000, Equity = 99995015.14
[2025-07-25 23:21:20] MRK: Action = Hold, State = (2, 2, 1, 2, 1, 2, 1), Price = 77.70, Reward = 0.0000, Equity = 99995015.14
[2025-07-25 23:21:29] CAT: Action = Hold, State = (0, 2, 4, 2, 3, 2, 1), Price = 343.00, Reward = 0.0000, Equity = 99995015.14
[2025-07-25 23:21:38] FCX: Action = Hold, State = (4, 3, 4, 2, 1, 2, 1), Price = 39.01, Reward = 0.0000, Equity = 99995015.14
[2025-07-25 23:21:47] WFC: Action = Hold, State = (0, 2, 4, 2, 1, 2, 1), Price = 72.75, Reward = 0.0000, Equity = 99995015.14
[2025-07-25 23:21:56] PAYC: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 257.90, Reward = 0.0000, Equity = 99995015.14
[2025-07-25 23:22:05] FDS: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 462.80, Reward = 0.0000, Equity = 99995015.14
[2025-07-25 23:22:15] SBUX: Action = Hold, State = (3, 2, 4, 2, 1, 2, 1), Price = 84.21, Reward = 0.0000, Equity = 99995015.14
[2025-07-25 23:22:25] MCD: Action = Hold, State = (0, 1, 4, 0, 3, 2, 1), Price = 311.88, Reward = 0.0000, Equity = 99995015.14
[2025-07-25 23:22:34] COP: Action = Hold, State = (0, 1, 4, 2, 1, 2, 1), Price = 85.28, Reward = 0.0000, Equity = 99995015.14
[2025-07-25 23:22:42] SLB: Action = Hold, State = (1, 2, 4, 1, 1, 2, 1), Price = 33.68, Reward = 0.0000, Equity = 99995015.14
[2025-07-25 23:22:52] WMT: Action = Hold, State = (1, 2, 4, 2, 1, 2, 1), Price = 96.30, Reward = 0.0000, Equity = 99995015.14
[2025-07-25 23:23:01] GEHC: Action = Hold, State = (0, 2, 4, 2, 3, 2, 1), Price = 69.05, Reward = 0.0000, Equity = 99995015.14
[2025-07-25 23:23:11] ABBV: Action = Hold, State = (0, 3, 4, 2, 4, 2, 1), Price = 183.26, Reward = 0.0000, Equity = 99995015.14
[2025-07-25 23:23:19] DG: Action = Hold, State = (2, 3, 4, 4, 1, 2, 1), Price = 101.99, Reward = 0.0000, Equity = 99995015.14
[2025-07-25 23:23:27] CVX: Action = Hold, State = (3, 2, 4, 2, 1, 2, 1), Price = 136.32, Reward = 0.0000, Equity = 99995015.14
[2025-07-25 23:23:35] PFE: Action = Hold, State = (2, 2, 4, 1, 1, 2, 1), Price = 23.32, Reward = 0.0000, Equity = 99995015.14
[2025-07-25 23:23:43] RS: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 291.98, Reward = 0.0000, Equity = 99995015.14
[2025-07-25 23:23:52] LRCX: Action = Hold, State = (0, 1, 4, 2, 1, 2, 1), Price = 81.05, Reward = 0.0000, Equity = 99995015.14
[2025-07-25 23:24:01] VZ: Action = Hold, State = (1, 2, 4, 2, 1, 2, 1), Price = 43.28, Reward = 0.0000, Equity = 99995015.14
[2025-07-25 23:24:09] BMY: Action = Hold, State = (0, 2, 2, 2, 1, 2, 1), Price = 46.90, Reward = 0.0000, Equity = 99995015.14
[2025-07-25 23:24:17] ALNY: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 283.25, Reward = 0.0000, Equity = 99995015.14
[2025-07-25 23:24:25] T: Action = Hold, State = (1, 3, 4, 2, 1, 2, 1), Price = 27.38, Reward = 0.0000, Equity = 99995015.14
[2025-07-25 23:24:33] LMT: Action = Hold, State = (0, 2, 4, 4, 1, 2, 1), Price = 471.70, Reward = 0.0000, Equity = 99995015.14
[2025-07-25 23:24:41] TMUS: Action = Hold, State = (1, 3, 4, 2, 4, 2, 1), Price = 242.88, Reward = 0.0000, Equity = 99995015.14
[2025-07-25 23:24:49] BAC: Action = Hold, State = (1, 2, 4, 2, 1, 2, 1), Price = 43.15, Reward = 0.0000, Equity = 99995015.14
[2025-07-25 23:24:57] MO: Action = Buy, State = (2, 2, 4, 2, 1, 2, 0), Price = 59.63, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:26:46] LLY: Action = Hold, State = (0, 1, 4, 2, 1, 2, 1), Price = 714.00, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:26:54] XOM: Action = Hold, State = (0, 2, 4, 2, 1, 2, 1), Price = 103.05, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:27:02] KO: Action = Hold, State = (3, 2, 4, 2, 1, 2, 1), Price = 71.58, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:27:09] UHS: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 186.21, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:27:17] MRK: Action = Hold, State = (2, 2, 1, 2, 1, 2, 1), Price = 77.70, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:27:25] CAT: Action = Hold, State = (0, 2, 4, 2, 3, 2, 1), Price = 343.00, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:27:33] FCX: Action = Hold, State = (4, 3, 4, 2, 1, 2, 1), Price = 39.01, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:27:41] WFC: Action = Hold, State = (0, 2, 4, 2, 1, 2, 1), Price = 72.75, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:27:49] PAYC: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 257.90, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:27:57] FDS: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 462.80, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:28:05] SBUX: Action = Hold, State = (3, 2, 4, 2, 1, 2, 1), Price = 84.21, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:28:12] MCD: Action = Hold, State = (0, 1, 4, 0, 3, 2, 1), Price = 311.88, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:28:20] COP: Action = Hold, State = (0, 1, 4, 2, 1, 2, 1), Price = 85.28, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:28:28] SLB: Action = Hold, State = (1, 2, 4, 1, 1, 2, 1), Price = 33.68, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:28:36] WMT: Action = Hold, State = (1, 2, 4, 2, 1, 2, 1), Price = 96.30, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:28:44] GEHC: Action = Hold, State = (0, 2, 4, 2, 3, 2, 1), Price = 69.05, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:28:52] ABBV: Action = Hold, State = (0, 3, 4, 2, 4, 2, 1), Price = 183.26, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:29:00] DG: Action = Hold, State = (2, 3, 4, 4, 1, 2, 1), Price = 101.99, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:29:07] CVX: Action = Hold, State = (3, 2, 4, 2, 1, 2, 1), Price = 136.32, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:29:15] MO: Action = Hold, State = (2, 2, 4, 2, 1, 2, 1), Price = 59.63, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:29:23] PFE: Action = Hold, State = (2, 2, 4, 1, 1, 2, 1), Price = 23.32, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:29:32] RS: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 291.98, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:29:39] LRCX: Action = Hold, State = (0, 1, 4, 2, 1, 2, 1), Price = 81.05, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:29:47] VZ: Action = Hold, State = (1, 2, 4, 2, 1, 2, 1), Price = 43.28, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:29:55] BMY: Action = Hold, State = (0, 2, 2, 2, 1, 2, 1), Price = 46.90, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:30:03] ALNY: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 283.25, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:30:11] T: Action = Hold, State = (1, 3, 4, 2, 1, 2, 1), Price = 27.38, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:30:19] LMT: Action = Hold, State = (0, 2, 4, 4, 1, 2, 1), Price = 471.70, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:30:26] TMUS: Action = Hold, State = (1, 3, 4, 2, 4, 2, 1), Price = 242.88, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:30:34] BAC: Action = Hold, State = (1, 2, 4, 2, 1, 2, 1), Price = 43.15, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:32:23] LLY: Action = Hold, State = (0, 1, 4, 2, 1, 2, 1), Price = 714.00, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:32:31] XOM: Action = Hold, State = (0, 2, 4, 2, 1, 2, 1), Price = 103.05, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:32:39] KO: Action = Hold, State = (3, 2, 4, 2, 1, 2, 1), Price = 71.58, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:32:47] UHS: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 186.21, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:32:54] MRK: Action = Hold, State = (2, 2, 1, 2, 1, 2, 1), Price = 77.70, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:33:02] CAT: Action = Hold, State = (0, 2, 4, 2, 3, 2, 1), Price = 343.00, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:33:10] FCX: Action = Hold, State = (4, 3, 4, 2, 1, 2, 1), Price = 39.01, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:33:17] WFC: Action = Hold, State = (0, 2, 4, 2, 1, 2, 1), Price = 72.75, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:33:25] PAYC: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 257.90, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:33:33] FDS: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 462.80, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:33:41] SBUX: Action = Hold, State = (3, 2, 4, 2, 1, 2, 1), Price = 84.21, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:33:49] MCD: Action = Hold, State = (0, 1, 4, 0, 3, 2, 1), Price = 311.88, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:33:56] COP: Action = Hold, State = (0, 1, 4, 2, 1, 2, 1), Price = 85.28, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:34:04] SLB: Action = Hold, State = (1, 2, 4, 1, 1, 2, 1), Price = 33.68, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:34:12] WMT: Action = Hold, State = (1, 2, 4, 2, 1, 2, 1), Price = 96.30, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:34:20] GEHC: Action = Hold, State = (0, 2, 4, 2, 3, 2, 1), Price = 69.05, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:34:28] ABBV: Action = Hold, State = (0, 3, 4, 2, 4, 2, 1), Price = 183.26, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:34:36] DG: Action = Hold, State = (2, 3, 4, 4, 1, 2, 1), Price = 101.99, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:34:44] CVX: Action = Hold, State = (3, 2, 4, 2, 1, 2, 1), Price = 136.32, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:34:52] MO: Action = Hold, State = (2, 2, 4, 2, 1, 2, 1), Price = 59.63, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:34:59] PFE: Action = Hold, State = (2, 2, 4, 1, 1, 2, 1), Price = 23.32, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:35:07] RS: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 291.98, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:35:15] LRCX: Action = Hold, State = (0, 1, 4, 2, 1, 2, 1), Price = 81.05, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:35:23] VZ: Action = Hold, State = (1, 2, 4, 2, 1, 2, 1), Price = 43.28, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:35:31] BMY: Action = Hold, State = (0, 2, 2, 2, 1, 2, 1), Price = 46.90, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:35:39] ALNY: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 283.25, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:35:46] T: Action = Hold, State = (1, 3, 4, 2, 1, 2, 1), Price = 27.38, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:35:54] LMT: Action = Hold, State = (0, 2, 4, 4, 1, 2, 1), Price = 471.70, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:36:02] TMUS: Action = Hold, State = (1, 3, 4, 2, 4, 2, 1), Price = 242.88, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:36:10] BAC: Action = Hold, State = (1, 2, 4, 2, 1, 2, 1), Price = 43.15, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:38:00] LLY: Action = Hold, State = (0, 1, 4, 2, 1, 2, 1), Price = 714.00, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:38:09] XOM: Action = Hold, State = (0, 2, 4, 2, 1, 2, 1), Price = 103.05, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:38:18] KO: Action = Hold, State = (3, 2, 4, 2, 1, 2, 1), Price = 71.58, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:38:27] UHS: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 186.21, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:38:36] MRK: Action = Hold, State = (2, 2, 1, 2, 1, 2, 1), Price = 77.70, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:38:46] CAT: Action = Hold, State = (0, 2, 4, 2, 3, 2, 1), Price = 343.00, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:38:55] FCX: Action = Hold, State = (4, 3, 4, 2, 1, 2, 1), Price = 39.01, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:39:03] WFC: Action = Hold, State = (0, 2, 4, 2, 1, 2, 1), Price = 72.75, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:39:12] PAYC: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 257.90, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:39:21] FDS: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 462.80, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:39:30] SBUX: Action = Hold, State = (3, 2, 4, 2, 1, 2, 1), Price = 84.21, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:39:39] MCD: Action = Hold, State = (0, 1, 4, 0, 3, 2, 1), Price = 311.88, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:39:48] COP: Action = Hold, State = (0, 1, 4, 2, 1, 2, 1), Price = 85.28, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:39:56] SLB: Action = Hold, State = (1, 2, 4, 1, 1, 2, 1), Price = 33.68, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:40:05] WMT: Action = Hold, State = (1, 2, 4, 2, 1, 2, 1), Price = 96.30, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:40:14] GEHC: Action = Hold, State = (0, 2, 4, 2, 3, 2, 1), Price = 69.05, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:40:23] ABBV: Action = Hold, State = (0, 3, 4, 2, 4, 2, 1), Price = 183.26, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:40:32] DG: Action = Hold, State = (2, 3, 4, 4, 1, 2, 1), Price = 101.99, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:40:41] CVX: Action = Hold, State = (3, 2, 4, 2, 1, 2, 1), Price = 136.32, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:40:50] MO: Action = Hold, State = (2, 2, 4, 2, 1, 2, 1), Price = 59.63, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:40:59] PFE: Action = Hold, State = (2, 2, 4, 1, 1, 2, 1), Price = 23.32, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:41:08] RS: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 291.98, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:41:16] LRCX: Action = Hold, State = (0, 1, 4, 2, 1, 2, 1), Price = 81.05, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:41:25] VZ: Action = Hold, State = (1, 2, 4, 2, 1, 2, 1), Price = 43.28, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:41:34] BMY: Action = Hold, State = (0, 2, 2, 2, 1, 2, 1), Price = 46.90, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:41:43] ALNY: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 283.25, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:41:51] T: Action = Hold, State = (1, 3, 4, 2, 1, 2, 1), Price = 27.38, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:42:00] LMT: Action = Hold, State = (0, 2, 4, 4, 1, 2, 1), Price = 471.70, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:42:09] TMUS: Action = Hold, State = (1, 3, 4, 2, 4, 2, 1), Price = 242.88, Reward = 0.0000, Equity = 99994955.51
[2025-07-25 23:42:18] BAC: Action = Hold, State = (1, 2, 4, 2, 1, 2, 1), Price = 43.15, Reward = 0.0000, Equity = 99994955.51
